State,State Code,Year,Population,Deaths
Alabama,1,1999,4430141,6
Alabama,1,2000,4447100,6
Alabama,1,2001,4467634,6
Alabama,1,2002,4480089,10
Alabama,1,2003,4503491,6
Alabama,1,2004,4530729,6
Alabama,1,2005,4569805,6
Alabama,1,2006,4628981,6
Alabama,1,2007,4672840,13
Alabama,1,2008,4718206,6
Alabama,1,2009,4757938,23
Alabama,1,2010,4779736,6
Alabama,1,2011,4802740,15
Alabama,1,2012,4822023,32
Alabama,1,2013,4833722,24
Alabama,1,2014,4849377,25
Alabama,1,2015,4858979,15
Alaska,2,1999,624779,-1
Alaska,2,2000,626932,-1
Alaska,2,2001,633714,-1
Alaska,2,2002,642337,-1
Alaska,2,2003,648414,-1
Alaska,2,2004,659286,-1
Alaska,2,2005,666946,-1
Alaska,2,2006,675302,-1
Alaska,2,2007,680300,-1
Alaska,2,2008,687455,-1
Alaska,2,2009,698895,-1
Alaska,2,2010,710231,-1
Alaska,2,2011,722718,-1
Alaska,2,2012,731449,-1
Alaska,2,2013,735132,-1
Alaska,2,2014,736732,-1
Alaska,2,2015,738432,-1
Arizona,4,1999,5023823,11
Arizona,4,2000,5130632,4.733333333
Arizona,4,2001,5273477,4.733333333
Arizona,4,2002,5396255,4.733333333
Arizona,4,2003,5510364,4.733333333
Arizona,4,2004,5652404,4.733333333
Arizona,4,2005,5839077,4.733333333
Arizona,4,2006,6029141,11
Arizona,4,2007,6167681,4.733333333
Arizona,4,2008,6280362,4.733333333
Arizona,4,2009,6343154,4.733333333
Arizona,4,2010,6392017,4.733333333
Arizona,4,2011,6482505,4.733333333
Arizona,4,2012,6553255,4.733333333
Arizona,4,2013,6626624,4.733333333
Arizona,4,2014,6731484,4.733333333
Arizona,4,2015,6828065,4.733333333
Arkansas,5,1999,2651860,-1
Arkansas,5,2000,2673400,-1
Arkansas,5,2001,2691571,-1
Arkansas,5,2002,2705927,-1
Arkansas,5,2003,2724816,-1
Arkansas,5,2004,2749686,-1
Arkansas,5,2005,2781097,-1
Arkansas,5,2006,2821761,-1
Arkansas,5,2007,2848650,-1
Arkansas,5,2008,2874554,-1
Arkansas,5,2009,2896843,-1
Arkansas,5,2010,2915918,-1
Arkansas,5,2011,2937979,-1
Arkansas,5,2012,2949131,-1
Arkansas,5,2013,2959373,-1
Arkansas,5,2014,2966369,-1
Arkansas,5,2015,2978204,-1
California,6,1999,33499204,64
California,6,2000,33871648,30
California,6,2001,34479458,28
California,6,2002,34871843,42
California,6,2003,35253159,48
California,6,2004,35574576,58
California,6,2005,35827943,84
California,6,2006,36021202,75
California,6,2007,36250311,33
California,6,2008,36604337,19
California,6,2009,36961229,34
California,6,2010,37253956,21
California,6,2011,37691912,20
California,6,2012,38041430,39
California,6,2013,38332521,32
California,6,2014,38802500,29
California,6,2015,39144818,45
Colorado,8,1999,4226018,1.705882353
Colorado,8,2000,4301261,1.705882353
Colorado,8,2001,4425687,1.705882353
Colorado,8,2002,4490406,1.705882353
Colorado,8,2003,4528732,1.705882353
Colorado,8,2004,4575013,1.705882353
Colorado,8,2005,4631888,1.705882353
Colorado,8,2006,4720423,1.705882353
Colorado,8,2007,4803868,1.705882353
Colorado,8,2008,4889730,1.705882353
Colorado,8,2009,4972195,1.705882353
Colorado,8,2010,5029196,1.705882353
Colorado,8,2011,5116796,1.705882353
Colorado,8,2012,5187582,1.705882353
Colorado,8,2013,5268367,1.705882353
Colorado,8,2014,5355866,1.705882353
Colorado,8,2015,5456574,1.705882353
Connecticut,9,1999,3386401,2.4375
Connecticut,9,2000,3405565,2.4375
Connecticut,9,2001,3432835,2.4375
Connecticut,9,2002,3458749,2.4375
Connecticut,9,2003,3484336,2.4375
Connecticut,9,2004,3496094,2.4375
Connecticut,9,2005,3506956,2.4375
Connecticut,9,2006,3517460,12
Connecticut,9,2007,3527270,2.4375
Connecticut,9,2008,3545579,2.4375
Connecticut,9,2009,3561807,2.4375
Connecticut,9,2010,3574097,2.4375
Connecticut,9,2011,3580709,2.4375
Connecticut,9,2012,3590347,2.4375
Connecticut,9,2013,3596080,2.4375
Connecticut,9,2014,3596677,2.4375
Connecticut,9,2015,3590886,2.4375
Delaware,10,1999,774990,2.4
Delaware,10,2000,783600,2.4
Delaware,10,2001,795699,2.4
Delaware,10,2002,806169,2.4
Delaware,10,2003,818003,2.4
Delaware,10,2004,830803,10
Delaware,10,2005,845150,2.4
Delaware,10,2006,859268,2.4
Delaware,10,2007,871749,2.4
Delaware,10,2008,883874,2.4
Delaware,10,2009,891730,2.4
Delaware,10,2010,897934,2.4
Delaware,10,2011,907135,2.4
Delaware,10,2012,917092,2.4
Delaware,10,2013,925749,2.4
Delaware,10,2014,935614,12
Delaware,10,2015,945934,2.4
District of Columbia,11,1999,570213,-1
District of Columbia,11,2000,572059,-1
District of Columbia,11,2001,574504,-1
District of Columbia,11,2002,573158,-1
District of Columbia,11,2003,568502,-1
District of Columbia,11,2004,567754,-1
District of Columbia,11,2005,567136,-1
District of Columbia,11,2006,570681,-1
District of Columbia,11,2007,574404,-1
District of Columbia,11,2008,580236,-1
District of Columbia,11,2009,592228,-1
District of Columbia,11,2010,601723,-1
District of Columbia,11,2011,617996,-1
District of Columbia,11,2012,632323,-1
District of Columbia,11,2013,646449,-1
District of Columbia,11,2014,658893,-1
District of Columbia,11,2015,672228,-1
Florida,12,1999,15759421,5.8
Florida,12,2000,15982378,5.8
Florida,12,2001,16356966,5.8
Florida,12,2002,16689370,11
Florida,12,2003,17004085,10
Florida,12,2004,17415318,19
Florida,12,2005,17842038,16
Florida,12,2006,18166990,34
Florida,12,2007,18367842,5.8
Florida,12,2008,18527305,5.8
Florida,12,2009,18652644,5.8
Florida,12,2010,18801310,5.8
Florida,12,2011,19057542,12
Florida,12,2012,19317568,5.8
Florida,12,2013,19552860,15
Florida,12,2014,19893297,5.8
Florida,12,2015,20271272,5.8
Georgia,13,1999,8045965,3.666666667
Georgia,13,2000,8186453,3.666666667
Georgia,13,2001,8377038,3.666666667
Georgia,13,2002,8508256,3.666666667
Georgia,13,2003,8622793,3.666666667
Georgia,13,2004,8769252,3.666666667
Georgia,13,2005,8925922,3.666666667
Georgia,13,2006,9155813,3.666666667
Georgia,13,2007,9349988,3.666666667
Georgia,13,2008,9504843,3.666666667
Georgia,13,2009,9620846,3.666666667
Georgia,13,2010,9687653,3.666666667
Georgia,13,2011,9815210,3.666666667
Georgia,13,2012,9919945,3.666666667
Georgia,13,2013,9992167,10
Georgia,13,2014,10097343,11
Georgia,13,2015,10214860,3.666666667
Hawaii,15,1999,1210300,0.8823529412
Hawaii,15,2000,1211537,0.8823529412
Hawaii,15,2001,1225948,0.8823529412
Hawaii,15,2002,1239613,0.8823529412
Hawaii,15,2003,1251154,0.8823529412
Hawaii,15,2004,1273569,0.8823529412
Hawaii,15,2005,1292729,0.8823529412
Hawaii,15,2006,1309731,0.8823529412
Hawaii,15,2007,1315675,0.8823529412
Hawaii,15,2008,1332213,0.8823529412
Hawaii,15,2009,1346717,0.8823529412
Hawaii,15,2010,1360301,0.8823529412
Hawaii,15,2011,1374810,0.8823529412
Hawaii,15,2012,1392313,0.8823529412
Hawaii,15,2013,1404054,0.8823529412
Hawaii,15,2014,1419561,0.8823529412
Hawaii,15,2015,1431603,0.8823529412
Idaho,16,1999,1275674,-1
Idaho,16,2000,1293953,-1
Idaho,16,2001,1319962,-1
Idaho,16,2002,1340372,-1
Idaho,16,2003,1363380,-1
Idaho,16,2004,1391802,-1
Idaho,16,2005,1428241,-1
Idaho,16,2006,1468669,-1
Idaho,16,2007,1505105,-1
Idaho,16,2008,1534320,-1
Idaho,16,2009,1554439,-1
Idaho,16,2010,1567582,-1
Idaho,16,2011,1584985,-1
Idaho,16,2012,1595728,-1
Idaho,16,2013,1612136,-1
Idaho,16,2014,1634464,-1
Idaho,16,2015,1654930,-1
Illinois,17,1999,12359020,2.882352941
Illinois,17,2000,12419293,2.882352941
Illinois,17,2001,12488445,2.882352941
Illinois,17,2002,12525556,2.882352941
Illinois,17,2003,12556006,2.882352941
Illinois,17,2004,12589773,2.882352941
Illinois,17,2005,12609903,2.882352941
Illinois,17,2006,12643955,2.882352941
Illinois,17,2007,12695866,2.882352941
Illinois,17,2008,12747038,2.882352941
Illinois,17,2009,12796778,2.882352941
Illinois,17,2010,12830632,2.882352941
Illinois,17,2011,12869257,2.882352941
Illinois,17,2012,12875255,2.882352941
Illinois,17,2013,12882135,2.882352941
Illinois,17,2014,12880580,2.882352941
Illinois,17,2015,12859995,2.882352941
Indiana,18,1999,6044969,2.9375
Indiana,18,2000,6080485,2.9375
Indiana,18,2001,6127760,2.9375
Indiana,18,2002,6155967,2.9375
Indiana,18,2003,6196638,2.9375
Indiana,18,2004,6233007,2.9375
Indiana,18,2005,6278616,2.9375
Indiana,18,2006,6332669,2.9375
Indiana,18,2007,6379599,2.9375
Indiana,18,2008,6424806,2.9375
Indiana,18,2009,6459325,2.9375
Indiana,18,2010,6483802,2.9375
Indiana,18,2011,6516922,2.9375
Indiana,18,2012,6537334,2.9375
Indiana,18,2013,6570902,2.9375
Indiana,18,2014,6596855,2.9375
Indiana,18,2015,6619680,11
Iowa,19,1999,2917634,1.058823529
Iowa,19,2000,2926324,1.058823529
Iowa,19,2001,2931997,1.058823529
Iowa,19,2002,2934234,1.058823529
Iowa,19,2003,2941999,1.058823529
Iowa,19,2004,2953635,1.058823529
Iowa,19,2005,2964454,1.058823529
Iowa,19,2006,2982644,1.058823529
Iowa,19,2007,2999212,1.058823529
Iowa,19,2008,3016734,1.058823529
Iowa,19,2009,3032870,1.058823529
Iowa,19,2010,3046355,1.058823529
Iowa,19,2011,3062309,1.058823529
Iowa,19,2012,3074186,1.058823529
Iowa,19,2013,3090416,1.058823529
Iowa,19,2014,3107126,1.058823529
Iowa,19,2015,3123899,1.058823529
Kansas,20,1999,2678338,0.9411764706
Kansas,20,2000,2688418,0.9411764706
Kansas,20,2001,2702162,0.9411764706
Kansas,20,2002,2713535,0.9411764706
Kansas,20,2003,2723004,0.9411764706
Kansas,20,2004,2734373,0.9411764706
Kansas,20,2005,2745299,0.9411764706
Kansas,20,2006,2762931,0.9411764706
Kansas,20,2007,2783785,0.9411764706
Kansas,20,2008,2808076,0.9411764706
Kansas,20,2009,2832704,0.9411764706
Kansas,20,2010,2853118,0.9411764706
Kansas,20,2011,2871238,0.9411764706
Kansas,20,2012,2885905,0.9411764706
Kansas,20,2013,2893957,0.9411764706
Kansas,20,2014,2904021,0.9411764706
Kansas,20,2015,2911641,0.9411764706
Kentucky,21,1999,4018053,1.705882353
Kentucky,21,2000,4041769,1.705882353
Kentucky,21,2001,4068132,1.705882353
Kentucky,21,2002,4089875,1.705882353
Kentucky,21,2003,4117170,1.705882353
Kentucky,21,2004,4146101,1.705882353
Kentucky,21,2005,4182742,1.705882353
Kentucky,21,2006,4219239,1.705882353
Kentucky,21,2007,4256672,1.705882353
Kentucky,21,2008,4289878,1.705882353
Kentucky,21,2009,4317074,1.705882353
Kentucky,21,2010,4339367,1.705882353
Kentucky,21,2011,4369356,1.705882353
Kentucky,21,2012,4380415,1.705882353
Kentucky,21,2013,4395295,1.705882353
Kentucky,21,2014,4413457,1.705882353
Kentucky,21,2015,4425092,1.705882353
Louisiana,22,1999,4460811,2.375
Louisiana,22,2000,4468976,2.375
Louisiana,22,2001,4477875,2.375
Louisiana,22,2002,4497267,2.375
Louisiana,22,2003,4521042,2.375
Louisiana,22,2004,4552238,2.375
Louisiana,22,2005,4576628,14
Louisiana,22,2006,4302665,2.375
Louisiana,22,2007,4375581,2.375
Louisiana,22,2008,4435586,2.375
Louisiana,22,2009,4491648,2.375
Louisiana,22,2010,4533372,2.375
Louisiana,22,2011,4574836,2.375
Louisiana,22,2012,4601893,2.375
Louisiana,22,2013,4625470,2.375
Louisiana,22,2014,4649676,2.375
Louisiana,22,2015,4670724,2.375
Maine,23,1999,1266808,-1
Maine,23,2000,1274923,-1
Maine,23,2001,1285692,-1
Maine,23,2002,1295960,-1
Maine,23,2003,1306513,-1
Maine,23,2004,1313688,-1
Maine,23,2005,1318787,-1
Maine,23,2006,1323619,-1
Maine,23,2007,1327040,-1
Maine,23,2008,1330509,-1
Maine,23,2009,1329590,-1
Maine,23,2010,1328361,-1
Maine,23,2011,1328188,-1
Maine,23,2012,1329192,-1
Maine,23,2013,1328302,-1
Maine,23,2014,1330089,-1
Maine,23,2015,1329328,-1
Maryland,24,1999,5254509,2.235294118
Maryland,24,2000,5296486,2.235294118
Maryland,24,2001,5374691,2.235294118
Maryland,24,2002,5440389,2.235294118
Maryland,24,2003,5496269,2.235294118
Maryland,24,2004,5546935,2.235294118
Maryland,24,2005,5592379,2.235294118
Maryland,24,2006,5627367,2.235294118
Maryland,24,2007,5653408,2.235294118
Maryland,24,2008,5684965,2.235294118
Maryland,24,2009,5730388,2.235294118
Maryland,24,2010,5773552,2.235294118
Maryland,24,2011,5828289,2.235294118
Maryland,24,2012,5884563,2.235294118
Maryland,24,2013,5928814,2.235294118
Maryland,24,2014,5976407,2.235294118
Maryland,24,2015,6006401,2.235294118
Massachusetts,25,1999,6317345,3.5
Massachusetts,25,2000,6349097,3.5
Massachusetts,25,2001,6397634,3.5
Massachusetts,25,2002,6417206,3.5
Massachusetts,25,2003,6422565,3.5
Massachusetts,25,2004,6412281,3.5
Massachusetts,25,2005,6403290,3.5
Massachusetts,25,2006,6410084,3.5
Massachusetts,25,2007,6431559,3.5
Massachusetts,25,2008,6468967,3.5
Massachusetts,25,2009,6517613,20
Massachusetts,25,2010,6547629,14
Massachusetts,25,2011,6587536,20
Massachusetts,25,2012,6646144,25
Massachusetts,25,2013,6692824,17
Massachusetts,25,2014,6745408,11
Massachusetts,25,2015,6794422,19
Michigan,26,1999,9897116,14
Michigan,26,2000,9938444,31
Michigan,26,2001,9991120,38
Michigan,26,2002,10015710,44
Michigan,26,2003,10041152,44
Michigan,26,2004,10055315,70
Michigan,26,2005,10051137,52
Michigan,26,2006,10036081,46
Michigan,26,2007,10001284,31
Michigan,26,2008,9946889,40
Michigan,26,2009,9901591,65
Michigan,26,2010,9883640,74
Michigan,26,2011,9876187,30
Michigan,26,2012,9883360,40
Michigan,26,2013,9895622,22
Michigan,26,2014,9909877,16
Michigan,26,2015,9922576,17
Minnesota,27,1999,4873481,2.058823529
Minnesota,27,2000,4919479,2.058823529
Minnesota,27,2001,4982796,2.058823529
Minnesota,27,2002,5018935,2.058823529
Minnesota,27,2003,5053572,2.058823529
Minnesota,27,2004,5087713,2.058823529
Minnesota,27,2005,5119598,2.058823529
Minnesota,27,2006,5163555,2.058823529
Minnesota,27,2007,5207203,2.058823529
Minnesota,27,2008,5247018,2.058823529
Minnesota,27,2009,5281203,2.058823529
Minnesota,27,2010,5303925,2.058823529
Minnesota,27,2011,5344861,2.058823529
Minnesota,27,2012,5379139,2.058823529
Minnesota,27,2013,5420380,2.058823529
Minnesota,27,2014,5457173,2.058823529
Minnesota,27,2015,5489594,2.058823529
Mississippi,28,1999,2828408,0.6470588235
Mississippi,28,2000,2844658,0.6470588235
Mississippi,28,2001,2852994,0.6470588235
Mississippi,28,2002,2858681,0.6470588235
Mississippi,28,2003,2868312,0.6470588235
Mississippi,28,2004,2889010,0.6470588235
Mississippi,28,2005,2905943,0.6470588235
Mississippi,28,2006,2904978,0.6470588235
Mississippi,28,2007,2928350,0.6470588235
Mississippi,28,2008,2947806,0.6470588235
Mississippi,28,2009,2958774,0.6470588235
Mississippi,28,2010,2967297,0.6470588235
Mississippi,28,2011,2978512,0.6470588235
Mississippi,28,2012,2984926,0.6470588235
Mississippi,28,2013,2991207,0.6470588235
